member_id||bill_num||congress
R000604||hr195||115
M001151||hr1950||115
O000171||hr1951||115
O000170||hr1952||115
P000594||hr1953||115
P000597||hr1954||115
R000585||hr1955||115
R000582||hr1956||115
S001156||hr1957||115
S000344||hr1958||115
S001191||hr1959||115
S001148||hr196||115
S000480||hr1960||115
S001192||hr1961||115
T000462||hr1962||115
W000797||hr1963||115
W000816||hr1964||115
T000470||hr1965||115
T000470||hr1966||115
L000564||hr1967||115
D000628||hr1968||115
S001145||hr1969||115
S001148||hr197||115
B001298||hr1970||115
S001199||hr1971||115
S001199||hr1972||115
B001284||hr1973||115
K000380||hr1974||115
M000312||hr1975||115
J000297||hr1976||115
W000797||hr1977||115
J000032||hr1978||115
J000032||hr1979||115
T000238||hr198||115
J000032||hr1980||115
J000032||hr1981||115
J000032||hr1982||115
J000032||hr1983||115
J000032||hr1984||115
J000032||hr1985||115
J000032||hr1986||115
R000606||hr1987||115
M001165||hr1988||115
M001165||hr1989||115
V000130||hr199||115
B001299||hr1990||115
B001269||hr1991||115
B001282||hr1992||115
B001281||hr1993||115
B001257||hr1994||115
B001273||hr1995||115
B001278||hr1996||115
B001296||hr1997||115
B001296||hr1998||115
B001297||hr1999||115
C001062||hr2||115
S001168||hr20||115
Y000033||hr200||115
C001090||hr2000||115
C001090||hr2001||115
C001066||hr2002||115
C001091||hr2003||115
C000266||hr2004||115
C001084||hr2005||115
C001077||hr2006||115
C001092||hr2007||115
C001105||hr2008||115
C001106||hr2009||115
V000081||hr201||115
C001096||hr2010||115
C001107||hr2011||115
D000197||hr2012||115
D000620||hr2013||115
D000620||hr2014||115
D000399||hr2015||115
D000533||hr2016||115
E000294||hr2017||115
